Iteration,Objective_Function,OOD_Error,Relative_OOD_Error,Benchmark_OOD,Relative_Benchmark_OOD,Step_Size,Time (s)
0,3.579932689666748,0.029221465811133385,0.00855413731187582,0.0012422421714290977,0.0003636473848018795,NA,0
1,3.04011607170105,0.0018038104753941298,0.000528037897311151,0.0012422421714290977,0.0003636473848018795,1e-06,35.752053022384644
2,2.770385980606079,0.0011685177450999618,0.00034206570126116276,0.0012422421714290977,0.0003636473848018795,1e-06,71.77584981918335
3,2.6772990226745605,0.0028146542608737946,0.0008239469607360661,0.0012422421714290977,0.0003636473848018795,1e-06,108.4513943195343
4,2.654229164123535,0.001389599172398448,0.0004067838890478015,0.0012422421714290977,0.0003636473848018795,1e-06,144.40843224525452
5,2.641996383666992,0.0008912241901271045,0.00026089223683811724,0.0012422421714290977,0.0003636473848018795,1e-06,179.7339904308319
6,2.627577543258667,0.0013141212984919548,0.0003846889012493193,0.0012422421714290977,0.0003636473848018795,1e-06,215.53347063064575
7,2.6256325244903564,0.00139665137976408,0.00040884834015741944,0.0012422421714290977,0.0003636473848018795,1e-06,250.6066243648529
8,2.6222715377807617,0.0022355113178491592,0.0006544117350131273,0.0012422421714290977,0.0003636473848018795,1e-06,286.02561259269714
9,2.620488166809082,0.0019043067004531622,0.0005574566312134266,0.0012422421714290977,0.0003636473848018795,1e-07,346.1375744342804
10,2.6333234310150146,0.0011633556568995118,0.00034055457217618823,0.0012422421714290977,0.0003636473848018795,1e-09,406.4300379753113
